Algorithmus;k;iter;stdev;reg;lr;Data_rep;test;m(AE);M(AE);m(RE);M(RE);gini
mcmc;14;1600;0.1;0;0;indicators;FALSE;2.791514996;2.202;1.332763789;0.673297143;0.30531719
mcmc;14;1800;0.1;0;0;indicators;FALSE;2.7777249;2.19;1.319441389;0.66886;0.311339107
mcmc;14;2000;0.1;0;0;indicators;FALSE;2.790595437;2.1922;1.325083038;0.67146;0.304440384
mcmc;16;200;0.1;0;0;indicators;FALSE;3.059941617;2.34335;1.484833264;0.6911525;0.224159065
mcmc;16;400;0.1;0;0;indicators;FALSE;2.869567458;2.26062;1.376368962;0.67728;0.267791218
mcmc;16;600;0.1;0;0;indicators;FALSE;2.943103939;2.29655;1.422815814;0.687726667;0.239480558
mcmc;16;800;0.1;0;0;indicators;FALSE;2.917831022;2.30014;1.411175866;0.681895385;0.25476033
mcmc;16;1000;0.1;0;0;indicators;FALSE;2.81093859;2.20985;1.339662289;0.670883;0.297472187
mcmc;16;1200;0.1;0;0;indicators;FALSE;2.830298727;2.22051;1.35796936;0.67468;0.292487401
mcmc;16;1400;0.1;0;0;indicators;FALSE;2.794883178;2.20031;1.332263548;0.668705294;0.307881201
mcmc;16;1600;0.1;0;0;indicators;FALSE;2.802260064;2.19849;1.335016465;0.672084286;0.300117003
mcmc;16;1800;0.1;0;0;indicators;FALSE;2.782907378;2.18857;1.324517909;0.667405;0.313267427
mcmc;16;2000;0.1;0;0;indicators;FALSE;2.81883859;2.21377;1.349097154;0.67414;0.296978273
mcmc;2;200;0.05;0;0;indicators;FALSE;2.744845502;2.2269;1.311283577;0.67102;0.331263937
mcmc;2;400;0.05;0;0;indicators;FALSE;2.74269777;2.22873;1.310498409;0.67137;0.335355289
mcmc;2;600;0.05;0;0;indicators;FALSE;2.746363033;2.21983;1.313186365;0.668917143;0.331961436
mcmc;2;800;0.05;0;0;indicators;FALSE;2.745844792;2.21509;1.310748801;0.672105;0.330065243
mcmc;2;1000;0.05;0;0;indicators;FALSE;2.747306236;2.22527;1.313521455;0.670715;0.331297324
mcmc;2;1200;0.05;0;0;indicators;FALSE;2.74715287;2.19998;1.311269174;0.671285;0.331463218
